88   2024-12-14 15:45 K3QIA         28.016    CW      PA   599 599 |TS-480|<strong>United States</strong>|7223km
89   2024-12-14 15:46 OK1FKD        28.016    CW      52   599 599 |TS-480|<strong>Czech Republic</strong>|0km
90   2024-12-14 15:47 K7SV          28.016    CW      VA   599 599 |TS-480|<strong>United States</strong>|7223km
91   2024-12-14 15:53 OK1PFM        28.021    CW      12   599 599 |TS-480|<strong>Czech Republic</strong>|0km
92   2024-12-14 15:54 K3PA          28.021    CW      KS   599 599 |TS-480|<strong>United States</strong>|7223km
93   2024-12-14 15:55 K6LL          28.021    CW      AZ   599 599 |TS-480|<strong>United States</strong>|7223km
94   2024-12-14 15:57 W9OD          28.021    CW      WI   599 599 |TS-480|<strong>United States</strong>|7223km
95   2024-12-14 16:00 AK2S          28.021    CW      NJ   599 599 |TS-480|<strong>United States</strong>|7223km
96   2024-12-14 16:04 NS4X          28.021    CW      TN   599 599 |TS-480|<strong>United States</strong>|7223km
97   2024-12-14 16:07 OK1DKR        28.021    CW      96   599 599 |TS-480|<strong>Czech Republic</strong>|0km
98   2024-12-14 16:08 KB1QU         28.021    CW      ME   599 599 |TS-480|<strong>United States</strong>|7223km
99   2024-12-14 16:09 OK1AUO        28.021    CW      79   599 599 |TS-480|<strong>Czech Republic</strong>|0km
100  2024-12-14 16:11 W5TM          28.021    CW      OK   599 599 |TS-480|<strong>United States</strong>|7223km
101  2024-12-14 16:31 NW8U          28.029    CW      WV   599 599 |TS-480|<strong>United States</strong>|7223km
102  2024-12-14 16:36 AA3R          28.029    CW      DE   599 599 |IC-746|<strong>United States</strong>|7223km
103  2024-12-14 16:36 K6ZB          28.029    CW      TX   599 599 |IC-746|<strong>United States</strong>|7223km
104  2024-12-14 16:37 W1FM          28.029    CW      MA   599 599 |IC-746|<strong>United States</strong>|7223km
105  2024-12-14 16:38 KB3Z          28.029    CW      PA   599 599 |IC-746|<strong>United States</strong>|7223km
106  2024-12-14 16:39 K4IU          28.029    CW      MD   599 599 |IC-746|<strong>United States</strong>|7223km
107  2024-12-14 16:39 W8TR          28.029    CW      MI   599 599 |IC-746|<strong>United States</strong>|7223km
108  2024-12-14 16:41 VE3KG         28.029    CW      ON   599 599 |IC-746|<strong>Canada</strong>|6615km
109  2024-12-14 16:42 W3RMO         28.029    CW      SD   599 599 |IC-746|<strong>United States</strong>|7223km
110  2024-12-14 16:42 WA2VZQ        28.029    CW      NY   599 599 |IC-746|<strong>United States</strong>|7223km
111  2024-12-14 16:43 K4ORD         28.029    CW      VA   599 599 |IC-746|<strong>United States</strong>|7223km
112  2024-12-14 16:45 K8GL          28.029    CW      MI   599 599 |IC-746|<strong>United States</strong>|7223km
